Date,Narration,Withdrawal_Amt,True_Category
08/01/2025,BBPS/BESCOM/ELECTRICITY/BILL PAY,347.1,Bills & Utilities
09/01/2025,UPI-MSBEAUX FASHION-IBKPOS.EP44271@ICIC I-ICIC0000004-864213697542-PAYMENT FROM PHONE,359.13,Shopping
09/01/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL35@ OKSBI-BKID0008860-219926516569-PAYMENT F ROM PHONE,17708.15,Transfers
09/01/2025,UPI-MS KAMAL ENTERPRISES-Q498038914@YBL HDFC0MERUPI-321369389691-PAYMENT FROM PH ONE,183.16,Groceries
09/01/2025,UPI-RAVI CARPENTER-7745154850@YBL-SBIN0 92967-430919294255-PAYMENT FROM PHONE,1521.64,Transport
09/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.344463025294@H DFCBANK-HDFC0MERUPI-771560865214-PAYMENT FROM PHONE,9764.82,Transfers
10/01/2025,UPI-LOCAL DHABA-PAYTMQR4010266@PTYS YESB0PTMUPI-510123144314-PAYMENT FROM PHONE,348.42,Food & Dining
10/01/2025,UPI-EKART-EKART@YBL-YESB0YBLUPI-58960582 1509-PAYMENT FOR REFCL7,7637.94,Shopping
10/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.497876373708@H DFCBANK-HDFC0MERUPI-537972204672-PAYMENT FROM PHONE,8437.81,Transfers
10/01/2025,UPI-BIGBASKET-7702462350@HDFCBANK HDFC0MERUPI-706374509471-GROCERY ORDER,2259.99,Groceries
10/01/2025,UPI-RAMESH KUMAR BANJARA-KAMLESHPAT76-4@O KHDFCBANK-HDFC9663062-746267922098-PAYME NT FROM PHONE,23272.47,Transfers
10/01/2025,UPI-MAHESH KUMAR MALI-9715943183@YBL-SBI N0030057-620733174731-PAYMENT FROM PHONE,20631.3,Transfers
11/01/2025,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK -HDFC0MERUPI-316982796045-MONTHLY AUTOPA Y. C,418.99,Food & Dining
11/01/2025,UPI-MR SIDDHARTH CHHABR-Q530771580@YBL-675401834614 YESB0YBLUPI-644506066038-PAYMENT FROM PH ONE,43775.3,Transfers
12/01/2025,UPI-SHAILENDRA PRAJAPAT-PAYTM.S26365@PT Y-YESB0MCHUPI-869288060387-PAYMENT FROM PHONE,33760.52,Transfers
12/01/2025,UPI-JABIR HUSAIN TAI-8551510388@YBL-SBIN 19208-901189782396-PAYMENT FROM PHONE,28274.51,Transfers
12/01/2025,ACH/HDFC MF/SIP/EQUITY FUND,2901.32,Investment
12/01/2025,UPI-SHAILENDRA PRAJAPAT-PAYTM.S11435@PT Y-YESB0MCHUPI-174013481364-PAYMENT FROM PHONE,21615.24,Transfers
12/01/2025,UPI-SURESH KUMAR PATIDA-KAMLESHPAT62-2@O KHDFCBANK-HDFC1208732-763972221600-PAYME NT FROM PHONE,18858.93,Transfers
13/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-570244158662-PAYMENT FOR 100006,1533.74,Transport
13/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-322913176760-BLINKIT PAYMENT,2040.54,Groceries
14/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-133583706503-BLINKIT PAYMENT,2838.6,Groceries
14/01/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTOMARKETPLAC 629815.RZP@RXAXIS-UTIB0000RZP-185813749414 16-PAYMENT FROM PHONE,1946.34,Groceries
14/01/2025,UPI-SWIGGY-9207327924@HDFCBANK-HDFC0MERUP I-139933045298-SWIGGY FOOD,70.35,Food & Dining
14/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-351210495748-PAYMENT FOR 100006,747.07,Transport
14/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 96593-823582635801-MANDATEEXECUTE,526.75,Bills & Utilities
14/01/2025,UPI-ZERODHA-9864775649@ZERODHA,2533.27,Investment
15/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-892212955628-UPIINTENT,501.28,Food & Dining
15/01/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTOMARKETPLAC 552529.RZP@RXAXIS-UTIB0000RZP-109593381563 75-PAYMENT FROM PHONE,1708.2,Groceries
15/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-374703965767-BLINKIT PAYMENT,657.71,Groceries
15/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-454545442736-PAYMENT FOR 100006,1313.05,Transport
16/01/2025,UPI-ZOMATO-PAYZOMATO@HDFCBANK-HDFC0MERUP I-450019126145-PAYMENT FROM PHONE,214.01,Food & Dining
16/01/2025,UPI-CHAAYOS-7708969638@HDFCBANK HDFC0MERUPI-178171910354-PAYMENT FROM PHONE,487.95,Food & Dining
16/01/2025,UPI-MR SIDDHARTH CHHABR-Q790521986@YBL-752140707653 YESB0YBLUPI-437956727831-PAYMENT FROM PH ONE,38700.59,Transfers
16/01/2025,UPI-CHAAPS N CURRIES-Q403158570@YBL-YESB 0YBLUPI-484708998684-PAYMENT FROM PHONE,770.58,Food & Dining
16/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-343197927387-UPIINTENT,538.68,Food & Dining
16/01/2025,UPI-CHAAPS N CURRIES-Q902043889@YBL-YESB 0YBLUPI-241169202910-PAYMENT FROM PHONE,555.87,Food & Dining
16/01/2025,UPI-RAMESH KUMAR PATIDA-RAKESHSIOTA47-4@O KHDFCBANK-HDFC6798495-150757668288-PAYME NT FROM PHONE,2955.6,Transfers
17/01/2025,UPI-EKART-EKART2.PAYU@AXISBANK-UTIB00001 00-719848514018-UPIQR,1163.37,Shopping
17/01/2025,UPI-ABHISHEK READYMADES-Q401976161@YBL-Y ESB0YBLUPI-322833338661-PAYMENT FROM PHO NE,1840.01,Shopping
17/01/2025,UPI-JABIR HUSAIN TAI-8151457273@YBL-SBIN 35814-495977165074-PAYMENT FROM PHONE,33162.22,Transfers
17/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-114790123293-BLINKIT PAYMENT,711.05,Food & Dining
17/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-472967245548-UPIINTENT,594.95,Food & Dining
17/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 33044-670347390113-MANDATEEXECUTE,301.8,Bills & Utilities
18/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-949043522054-PAYMENT FOR 100006,1196.95,Transport
18/01/2025,UPI-KAMLESH KUMAR SIOTA-SURESHSINGH62-1@O KHDFCBANK-HDFC8469966-807762974415-PAYME NT FROM PHONE,19572.48,Transfers
18/01/2025,UPI-KWATRA-IBKPOS.EP455848@ICICI-ICIC000 8344-230052655907-PAYMENT FROM PHONE,24643.57,Transfers
19/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-733234771525-UPIINTENT,700.02,Food & Dining
19/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 87232-680952236118-MANDATEEXECUTE,551.99,Bills & Utilities
19/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-681715768614-UPIINTENT,255.37,Food & Dining
19/01/2025,UPI-MR SIDDHARTH CHHABR-Q116507677@YBL-484402467647 YESB0YBLUPI-903801616328-PAYMENT FROM PH ONE,12510.09,Transfers
20/01/2025,UPI-JAIN DAIRY COLDRINKS-Q778079611@YBL- YESB0YBLUPI-636275212997-PAYMENT FROM PH ONE,471.26,Food & Dining
20/01/2025,UPI-UBER-8864175505@HDFCBANK HDFC0MERUPI-243557803911-RIDE PAYMENT,1426.41,Transport
20/01/2025,UPI-SURESH KUMAR SIOTA-SURESHSINGH68-5@O KHDFCBANK-HDFC1840410-243747394669-PAYME NT FROM PHONE,14231.85,Transfers
20/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.833493851803@H DFCBANK-HDFC0MERUPI-918293211782-PAYMENT FROM PHONE,17439.08,Transfers
21/01/2025,UPI-MEESHO TECHNOLOGIES -MEESHOONLINEPG@ AXL-UTIB0AXLUPI-845093237452-UPI INTENT,4373.66,Shopping
21/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-481651216494-PAYMENT FROM PHONE,27754.72,Transfers
21/01/2025,UPI-SWIGGY-8482692334@HDFCBANK-HDFC0MERUP I-917654622055-SWIGGY FOOD,758.75,Food & Dining
21/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-383205310614-PAYMENT FOR 100006,166.39,Transport
22/01/2025,UPI-BIGBASKET-9177059542@HDFCBANK HDFC0MERUPI-693192716193-GROCERY ORDER,108.48,Groceries
22/01/2025,UPI-JABIR HUSAIN TAI-9724154098@YBL-SBIN 49672-364222302779-PAYMENT FROM PHONE,14112.02,Transfers
22/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.369347602163@H DFCBANK-HDFC0MERUPI-684077459710-PAYMENT FROM PHONE,32735.84,Transfers
22/01/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL73@ OKSBI-BKID0008860-456967186721-PAYMENT F ROM PHONE,42141.19,Transfers
22/01/2025,ACH/ICICI BANK/EMI/PERSONAL LOAN,16115.35,EMI & Loans
22/01/2025,UPI-UBER-7580932928@HDFCBANK HDFC0MERUPI-747921288073-RIDE PAYMENT,1898.54,Transport
22/01/2025,UPI-JABIR HUSAIN TAI-9848378098@YBL-SBIN 95215-192996023695-PAYMENT FROM PHONE,38744.23,Transfers
22/01/2025,ACH/SBI MF/SIP/BLUECHIP FUND,2660.16,Investment
23/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-126048667824-UPIINTENT,286.05,Food & Dining
23/01/2025,ACH/JIO/RECHARGE/4G PLAN,956.19,Bills & Utilities
24/01/2025,UPI-CHAAPS N CURRIES-Q178778120@YBL-YESB 0YBLUPI-306758488056-PAYMENT FROM PHONE,590.35,Food & Dining
24/01/2025,UPI-BIGBASKET-8851109119@HDFCBANK HDFC0MERUPI-962081140185-GROCERY ORDER,557.2,Groceries
24/01/2025,UPI-TAKEUFORWARD-TAKEUFORWARD952606.RZP@ RXAIRTEL-AIRP0000011-708046307102-PAYMEN TTOTAKEUFORW,3273.85,Education
24/01/2025,UPI-JABIR HUSAIN TAI-8777162066@YBL-SBIN 92181-498100421978-PAYMENT FROM PHONE,30309.29,Transfers
24/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 17308-409406035166-MANDATEEXECUTE,1750.52,Bills & Utilities
24/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-775687451501-PAYMENT FROM PHONE,17168.77,Transfers
24/01/2025,NACH/BAJAJ FINANCE/EMI DEBIT,13013.2,EMI & Loans
25/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-911476766635-UPIINTENT,576.91,Food & Dining
25/01/2025,UPI-ZERODHA-9667519814@ZERODHA,5609.09,Investment
25/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-873399821246-UPIINTENT,451.41,Food & Dining
25/01/2025,UPI-BIGBASKET-8707214327@HDFCBANK HDFC0MERUPI-882343397285-GROCERY ORDER,1631.78,Groceries
25/01/2025,UPI-MAHESH KUMAR MALI-8690756611@YBL-SBI N0030057-166744787863-PAYMENT FROM PHONE,8420.09,Transfers
26/01/2025,UPI-OLA CABS-8229694480@PTYBL YESB0PTMUPI-708345163596-AUTO PAYMENT,961.44,Transport
26/01/2025,UPI-UBER-7561997503@HDFCBANK HDFC0MERUPI-702306379099-RIDE PAYMENT,1647.34,Transport
26/01/2025,UPI-AIRTEL RECHARGE-AIRTELPREDIRECT2@AXL -UTIB0AXLUPI-994146253045-PAYMENT FROM P HONE,1759.57,Bills & Utilities
27/01/2025,UPI-CHAAPS N CURRIES-Q760293573@YBL-YESB 0YBLUPI-179149342593-PAYMENT FROM PHONE,207.68,Food & Dining
27/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 351090489373-PAYMENT FROM PHONE,1516.25,Healthcare
27/01/2025,UPI-MR SIDDHARTH CHHABR-Q978359493@YBL-423441522318 YESB0YBLUPI-571492525983-PAYMENT FROM PH ONE,37969.52,Transfers
27/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 357871099369-PAYMENT FROM PHONE,1651.82,Healthcare
28/01/2025,UPI-JAIN DAIRY COLDRINKS-Q888362738@YBL- YESB0YBLUPI-621662952570-PAYMENT FROM PH ONE,518.67,Food & Dining
28/01/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTO.PAYU@AXIS BANK-UTIB0000100-245371111679-PAYMENT FR OM PHONE,1080.59,Groceries
28/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-226252965739-UPIINTENT,84.07,Food & Dining
28/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-939679249000-PAYMENT FOR 100006,1696.28,Transport
01/03/2025,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK -HDFC0MERUPI-733019122443-MONTHLY AUTOPA Y. C,546.75,Food & Dining
02/03/2025,UPI-SWIGGY-8026308342@HDFCBANK-HDFC0MERUP I-685406141673-SWIGGY FOOD,129.8,Food & Dining
02/03/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-113364659649-PAYMENT FOR 100006,242.62,Transport
02/03/2025,UPI-FLIPKART PAYMENTS-PAYTM-73693464@PTY BL-YESB0PTMUPI-344090490684-PAYMENT FROM PHONE,5610.29,Shopping
03/03/2025,UPI-SWIGGY-9852159305@HDFCBANK-HDFC0MERUP I-686948885151-SWIGGY FOOD,129.37,Food & Dining
03/03/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-518261141402-BLINKIT PAYMENT,530.22,Food & Dining
03/03/2025,UPI-MS KAMAL ENTERPRISES-Q180881637@YBL BARB0INDKAT-769315587223-PAYMENT FROM PH ONE,1769.69,Groceries
03/03/2025,UPI-KALA KUNJ KOTA-VYAPAR.155807589653@H DFCBANK-HDFC0MERUPI-992083415970-PAYMENT FROM PHONE,11177.06,Transfers
03/03/2025,ACH/SBI MF/SIP/BLUECHIP FUND,6358.89,Investment
03/03/2025,ACH/ICICI BANK/EMI/PERSONAL LOAN,16238.38,EMI & Loans
04/03/2025,UPI-LOCAL DHABA-PAYTMQR5509336@PTYS YESB0PTMUPI-940990823231-PAYMENT FROM PHONE,671.92,Food & Dining
04/03/2025,UPI-SAMRIYA KIRANA STORE-VYAPAR.97751303 2694@HDFCBANK-HDFC0MERUPI-230141624009-P AYMENT FROM PHONE,2812.42,Groceries
05/03/2025,UPI-BPCL UFILL 1-PAYTMQR55400464@PAYTM-YE SB0PTMUPI-327263999349-PAYMENT FROM PHON E,1713.26,Transport
05/03/2025,UPI-KALA KUNJ KOTA-VYAPAR.937024173932@H DFCBANK-HDFC0MERUPI-603420599061-PAYMENT FROM PHONE,31620.88,Transfers
06/03/2025,UPI-EKART-EKART@YBL-YESB0YBLUPI-67741078 3371-PAYMENT FOR REFCL5,6702.11,Shopping
06/03/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-624244833350-PAYMENT FROM PHONE,27513.61,Transfers
08/03/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-864010160494-UPIINTENT,469.74,Food & Dining
09/03/2025,UPI-MR SIDDHARTH CHHABR-Q301669839@YBL-104277657699 YESB0YBLUPI-389141786852-PAYMENT FROM PH ONE,7221.31,Transfers
10/03/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-384962788989-PAYMENT FROM PHONE,20819.69,Transfers
10/03/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-308803454163-PAYMENT FROM PHONE,36161.7,Transfers
11/03/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-602545621527-UPIINTENT,712.69,Food & Dining
11/03/2025,UPI-BIGBASKET-9025430362@HDFCBANK HDFC0MERUPI-477258309689-GROCERY ORDER,717.21,Groceries
11/03/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-270256601329-PAYMENT FOR 100006,661.58,Transport
11/03/2025,UPI-TAKEUFORWARD-TAKEUFORWARD805384.RZP@ RXAIRTEL-AIRP0000011-122998039080-PAYMEN TTOTAKEUFORW,1759.34,Education
13/03/2025,UPI-ZERODHA-8083324753@ZERODHA,1446.47,Investment
14/03/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-696604358256-UPIINTENT,140.47,Food & Dining
14/03/2025,UPI-SWIGGY-9403327209@HDFCBANK-HDFC0MERUP I-531873804073-SWIGGY FOOD,514.27,Food & Dining
14/03/2025,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK -HDFC0MERUPI-741996848480-MONTHLY AUTOPA Y. C,523.29,Food & Dining
14/03/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-513747133072-PAYMENT FOR 100006,1243.78,Transport
14/03/2025,UPI-MR SIDDHARTH CHHABR-Q985704776@YBL-567030081901 YESB0YBLUPI-751763986220-PAYMENT FROM PH ONE,27101.55,Transfers
14/03/2025,UPI-RAKESH KUMAR PATIDA-SURESHSINGH61-5@O KHDFCBANK-HDFC9231362-283032373631-PAYME NT FROM PHONE,41310.24,Transfers
14/03/2025,UPI-MR SIDDHARTH CHHABR-Q164439759@YBL-579587947480 YESB0YBLUPI-356316691548-PAYMENT FROM PH ONE,2720.47,Transfers
15/03/2025,UPI-JAIN DAIRY COLDRINKS-Q532679505@YBL- YESB0YBLUPI-270317354052-PAYMENT FROM PH ONE,690.61,Food & Dining
16/03/2025,UPI-OLA CABS-8907758077@PTYBL YESB0PTMUPI-836776580490-AUTO PAYMENT,1945.84,Transport
16/03/2025,UPI-OLA CABS-8668468694@PTYBL YESB0PTMUPI-935790339387-AUTO PAYMENT,277.4,Transport
16/03/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 614546432901-PAYMENT FROM PHONE,953.43,Healthcare
17/03/2025,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK -HDFC0MERUPI-108909814033-MONTHLY AUTOPA Y. C,123.86,Food & Dining
17/03/2025,UPI-KALA KUNJ KOTA-VYAPAR.512905480770@H DFCBANK-HDFC0MERUPI-190947900732-PAYMENT FROM PHONE,6940.11,Shopping
17/03/2025,UPI-MAHESH KUMAR MALI-9465881819@YBL-SBI N0030057-375759689348-PAYMENT FROM PHONE,24165.45,Transfers
18/03/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL19@ OKSBI-BKID0008860-549571144995-PAYMENT F ROM PHONE,7547.05,Transfers
18/03/2025,UPI-JABIR HUSAIN TAI-9755021595@YBL-SBIN 46345-284595722272-PAYMENT FROM PHONE,32256.0,Transfers
19/03/2025,UPI-OLA CABS-8055950326@PTYBL YESB0PTMUPI-795605498103-AUTO PAYMENT,245.32,Transport
19/03/2025,UPI-DELHI WATCH ELECTR-GPAY-1475450390 88@OKBIZAXIS-UTIB0000553-186050824192-PAY MENT FROM PHONE,342.73,Shopping
19/03/2025,UPI-MEESHO TECHNOLOGIES -MEESHOONLINEPG@ AXL-UTIB0AXLUPI-697602542502-UPI INTENT,168.79,Shopping
19/03/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 93556-293160750391-MANDATEEXECUTE,1133.46,Bills & Utilities
19/03/2025,UPI-AIRTEL RECHARGE-AIRTELPREDIRECT1@YBL -YESB0YBLUPI-665659602426-PAYMENT FROM P HONE,1969.14,Bills & Utilities
19/03/2025,UPI-JABIR HUSAIN TAI-8694573834@YBL-SBIN 53853-677394840097-PAYMENT FROM PHONE,10740.33,Transfers
20/03/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-376120950355-BLINKIT PAYMENT,628.39,Food & Dining
20/03/2025,BBPS/BESCOM/ELECTRICITY/BILL PAY,403.48,Bills & Utilities
21/03/2025,UPI-M S SUPREME TRANSPOR-SUPREMETRANSPOR T290-3@OKICICI-ICIC3758552-963616367488- PAYMENT FROM PHONE,57.49,Transport
21/03/2025,BBPS/BESCOM/ELECTRICITY/BILL PAY,247.85,Bills & Utilities
21/03/2025,UPI-SURESH KUMAR SIOTA-RAKESHSIOTA82-1@O KHDFCBANK-HDFC9035675-100565824362-PAYME NT FROM PHONE,30474.74,Transfers
22/03/2025,UPI-SWIGGY-7569366690@HDFCBANK-HDFC0MERUP I-562988908301-SWIGGY FOOD,82.45,Food & Dining
22/03/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTO.PAYU@AXIS BANK-UTIB0000100-193921750086-PAYMENT FR OM PHONE,174.85,Groceries
22/03/2025,UPI-BIGBASKET-9815168068@HDFCBANK HDFC0MERUPI-672984828762-GROCERY ORDER,1693.49,Groceries
22/03/2025,UPI-UBER-9887485440@HDFCBANK HDFC0MERUPI-493921566106-RIDE PAYMENT,1099.51,Transport
23/03/2025,UPI-SWIGGY-9297066171@HDFCBANK-HDFC0MERUP I-405860520628-SWIGGY FOOD,486.46,Food & Dining
23/03/2025,UPI-JAI APPARELS-GPAY-86529360309@OKBIZA XIS-UTIB0000553-919211126131-PAYMENT FRO M PHONE,6117.25,Shopping
23/03/2025,UPI-RAJ MEDICAL STORES-GPAY-25390509991@ OKBIZAXIS-UTIB0000553-715997426884-PAYME NT FROM PHONE,1316.89,Healthcare
24/03/2025,UPI-CHAAPS N CURRIES-Q180157099@YBL-YESB 0YBLUPI-133460644707-PAYMENT FROM PHONE,629.38,Food & Dining
24/03/2025,UPI-VIJAY JUICE POINT-PAYTM.S28559@PTY- YESB0MCHUPI-580204247495-PAYMENT FROM PH ONE,642.49,Food & Dining
24/03/2025,UPI-SHREERAM STATIONERY -Q23442401@YBL-B KID3239463-146696512273-PAYMENT FROM PHO NE,2556.85,Education
