Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
09/01/2025,UPI-MSBEAUX FASHION-IBKPOS.EP44271@ICIC I-ICIC0000004-864213697542-PAYMENT FROM PHONE,2705821511766727,09/01/2025,359.13,,114918.35
09/01/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL35@ OKSBI-BKID0008860-219926516569-PAYMENT F ROM PHONE,4272293210095816,09/01/2025,17708.15,,97210.2
09/01/2025,UPI-MS KAMAL ENTERPRISES-Q498038914@YBL HDFC0MERUPI-321369389691-PAYMENT FROM PH ONE,5092180390375569,09/01/2025,183.16,,97027.04
09/01/2025,UPI-RAVI CARPENTER-7745154850@YBL-SBIN0 92967-430919294255-PAYMENT FROM PHONE,6032434889908124,09/01/2025,1521.64,,95505.4
09/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.344463025294@H DFCBANK-HDFC0MERUPI-771560865214-PAYMENT FROM PHONE,1305074268527796,09/01/2025,9764.82,,85740.58
10/01/2025,UPI-LOCAL DHABA-PAYTMQR4010266@PTYS YESB0PTMUPI-510123144314-PAYMENT FROM PHONE,1134130482740291,10/01/2025,348.42,,85392.16
10/01/2025,UPI-EKART-EKART@YBL-YESB0YBLUPI-58960582 1509-PAYMENT FOR REFCL7,1577156396608025,10/01/2025,7637.94,,77754.22
10/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.497876373708@H DFCBANK-HDFC0MERUPI-537972204672-PAYMENT FROM PHONE,9461903179178958,10/01/2025,8437.81,,69316.41
10/01/2025,UPI-BIGBASKET-7702462350@HDFCBANK HDFC0MERUPI-706374509471-GROCERY ORDER,3018255822526790,10/01/2025,2259.99,,67056.42
10/01/2025,UPI-RAMESH KUMAR BANJARA-KAMLESHPAT76-4@O KHDFCBANK-HDFC9663062-746267922098-PAYME NT FROM PHONE,3204882672335463,10/01/2025,23272.47,,43783.95
10/01/2025,UPI-MAHESH KUMAR MALI-9715943183@YBL-SBI N0030057-620733174731-PAYMENT FROM PHONE,6496703008465359,10/01/2025,20631.3,,23152.65
11/01/2025,UPI-SAYUSH MITTAL-SAYUSHMITTAL82@OKHDFCB ANK-HDFC0005830-915189609181-UPI,4665706774703449,11/01/2025,,19229.24,42381.89
11/01/2025,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK -HDFC0MERUPI-316982796045-MONTHLY AUTOPA Y. C,4501303566383912,11/01/2025,418.99,,41962.9
11/01/2025,UPI-MR SIDDHARTH CHHABR-Q530771580@YBL-675401834614 YESB0YBLUPI-644506066038-PAYMENT FROM PH ONE,8193235810132933,11/01/2025,43775.3,,-1812.4
12/01/2025,UPI-SHAILENDRA PRAJAPAT-PAYTM.S26365@PT Y-YESB0MCHUPI-869288060387-PAYMENT FROM PHONE,5055100289366790,12/01/2025,33760.52,,-35572.92
12/01/2025,UPI-JABIR HUSAIN TAI-8551510388@YBL-SBIN 19208-901189782396-PAYMENT FROM PHONE,5360537670847230,12/01/2025,28274.51,,-63847.43
12/01/2025,ACH/HDFC MF/SIP/EQUITY FUND,8306047784301272,12/01/2025,2901.32,,-66748.75
12/01/2025,UPI-DEVKARAN MEENA-7897613706@YBL-FINO00 54070-631256989377-PAYMENT FROM PHONE,2101361809312176,12/01/2025,,19764.47,-46984.28
12/01/2025,UPI-SHAILENDRA PRAJAPAT-PAYTM.S11435@PT Y-YESB0MCHUPI-174013481364-PAYMENT FROM PHONE,1309530097863418,12/01/2025,21615.24,,-68599.52
12/01/2025,UPI-SURESH KUMAR PATIDA-KAMLESHPAT62-2@O KHDFCBANK-HDFC1208732-763972221600-PAYME NT FROM PHONE,7663189331525439,12/01/2025,18858.93,,-87458.45
13/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-570244158662-PAYMENT FOR 100006,3144061539103612,13/01/2025,1533.74,,-88992.19
13/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-322913176760-BLINKIT PAYMENT,8258197684877263,13/01/2025,2040.54,,-91032.73
14/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-133583706503-BLINKIT PAYMENT,2095129774428165,14/01/2025,2838.6,,-93871.33
14/01/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTOMARKETPLAC 629815.RZP@RXAXIS-UTIB0000RZP-185813749414 16-PAYMENT FROM PHONE,4923773285593175,14/01/2025,1946.34,,-95817.67
14/01/2025,UPI-SWIGGY-9207327924@HDFCBANK-HDFC0MERUP I-139933045298-SWIGGY FOOD,7694270484171910,14/01/2025,70.35,,-95888.02
14/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-351210495748-PAYMENT FOR 100006,5419457099270594,14/01/2025,747.07,,-96635.09
14/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 96593-823582635801-MANDATEEXECUTE,6167407587620800,14/01/2025,526.75,,-97161.84
14/01/2025,UPI-ZERODHA-9864775649@ZERODHA,9188728302637453,14/01/2025,2533.27,,-99695.11
15/01/2025,UPI-DEVKARAN MEENA-8404958285@YBL-FINO00 61158-411015474364-PAYMENT FROM PHONE,2811779527980266,15/01/2025,,5623.29,-94071.82
15/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-892212955628-UPIINTENT,6979584191189064,15/01/2025,501.28,,-94573.1
15/01/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTOMARKETPLAC 552529.RZP@RXAXIS-UTIB0000RZP-109593381563 75-PAYMENT FROM PHONE,5981373249613304,15/01/2025,1708.2,,-96281.3
15/01/2025,UPI-GHANSHYAM GURJAR-GHANSHYAMG334@AXL 1048154-172252412451-PAYMENT FROM PH ONE,8393532350881840,15/01/2025,,3648.52,-92632.78
15/01/2025,UPI-VINOD-VINODBAGADA8@AXL-SBIN0030057-7 494363353860-PAYMENT FROM PHONE,9091799852901727,15/01/2025,,4773.26,-87859.52
15/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-374703965767-BLINKIT PAYMENT,8939920212191925,15/01/2025,657.71,,-88517.23
15/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-454545442736-PAYMENT FOR 100006,1726253468418367,15/01/2025,1313.05,,-89830.28
16/01/2025,UPI-RACHANA RAWAT-432354462R@AXL-FINO00 90001-397452557443-PAYMENT FROM PHONE,1672585519213387,16/01/2025,,15963.59,-73866.69
16/01/2025,UPI-ZOMATO-PAYZOMATO@HDFCBANK-HDFC0MERUP I-450019126145-PAYMENT FROM PHONE,5641120941642508,16/01/2025,214.01,,-74080.7
16/01/2025,UPI-CHAAYOS-7708969638@HDFCBANK HDFC0MERUPI-178171910354-PAYMENT FROM PHONE,6564530102150339,16/01/2025,487.95,,-74568.65
16/01/2025,UPI-MR SIDDHARTH CHHABR-Q790521986@YBL-752140707653 YESB0YBLUPI-437956727831-PAYMENT FROM PH ONE,6769448898724445,16/01/2025,38700.59,,-113269.24
16/01/2025,UPI-SAYUSH MITTAL-SAYUSHMITTAL88@OKHDFCB ANK-HDFC0005830-314086305941-UPI,2558359478099430,16/01/2025,,14538.79,-98730.45
16/01/2025,UPI-CHAAPS N CURRIES-Q403158570@YBL-YESB 0YBLUPI-484708998684-PAYMENT FROM PHONE,9679611421504639,16/01/2025,770.58,,-99501.03
16/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-343197927387-UPIINTENT,7482533736367596,16/01/2025,538.68,,-100039.71
16/01/2025,UPI-CHAAPS N CURRIES-Q902043889@YBL-YESB 0YBLUPI-241169202910-PAYMENT FROM PHONE,3321786665617743,16/01/2025,555.87,,-100595.58
16/01/2025,UPI-RAMESH KUMAR PATIDA-RAKESHSIOTA47-4@O KHDFCBANK-HDFC6798495-150757668288-PAYME NT FROM PHONE,1335128078299444,16/01/2025,2955.6,,-103551.18
17/01/2025,UPI-VINOD-VINODBAGADA2@AXL-SBIN0030057-6 687925983392-PAYMENT FROM PHONE,8028944218922942,17/01/2025,,14392.3,-89158.88
17/01/2025,UPI-EKART-EKART2.PAYU@AXISBANK-UTIB00001 00-719848514018-UPIQR,8253940079954844,17/01/2025,1163.37,,-90322.25
17/01/2025,UPI-ABHISHEK READYMADES-Q401976161@YBL-Y ESB0YBLUPI-322833338661-PAYMENT FROM PHO NE,5670182716589350,17/01/2025,1840.01,,-92162.26
17/01/2025,UPI-JABIR HUSAIN TAI-8151457273@YBL-SBIN 35814-495977165074-PAYMENT FROM PHONE,3939765384191470,17/01/2025,33162.22,,-125324.48
17/01/2025,UPI-BLINKIT-PAYTM-BLINKIT@PTYBL-YESB0PTM UPI-114790123293-BLINKIT PAYMENT,6565422757367662,17/01/2025,711.05,,-126035.53
17/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-472967245548-UPIINTENT,2513242756672875,17/01/2025,594.95,,-126630.48
17/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 33044-670347390113-MANDATEEXECUTE,7799281056995104,17/01/2025,301.8,,-126932.28
18/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-949043522054-PAYMENT FOR 100006,1155491684162109,18/01/2025,1196.95,,-128129.23
18/01/2025,UPI-KAMLESH KUMAR SIOTA-SURESHSINGH62-1@O KHDFCBANK-HDFC8469966-807762974415-PAYME NT FROM PHONE,1451038694307591,18/01/2025,19572.48,,-147701.71
18/01/2025,UPI-KWATRA-IBKPOS.EP455848@ICICI-ICIC000 8344-230052655907-PAYMENT FROM PHONE,4245435385245703,18/01/2025,24643.57,,-172345.28
19/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-733234771525-UPIINTENT,8947820375944984,19/01/2025,700.02,,-173045.3
19/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 87232-680952236118-MANDATEEXECUTE,3005664248290201,19/01/2025,551.99,,-173597.29
19/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-681715768614-UPIINTENT,6193421550493746,19/01/2025,255.37,,-173852.66
19/01/2025,UPI-MR SIDDHARTH CHHABR-Q116507677@YBL-484402467647 YESB0YBLUPI-903801616328-PAYMENT FROM PH ONE,1879059082676251,19/01/2025,12510.09,,-186362.75
20/01/2025,UPI-DEVKARAN MEENA-8124993013@YBL-FINO00 60760-403776432751-PAYMENT FROM PHONE,9467228817319839,20/01/2025,,37649.65,-148713.1
20/01/2025,UPI-JAIN DAIRY COLDRINKS-Q778079611@YBL- YESB0YBLUPI-636275212997-PAYMENT FROM PH ONE,6044327883684435,20/01/2025,471.26,,-149184.36
20/01/2025,UPI-UBER-8864175505@HDFCBANK HDFC0MERUPI-243557803911-RIDE PAYMENT,3080043057040963,20/01/2025,1426.41,,-150610.77
20/01/2025,UPI-SURESH KUMAR SIOTA-SURESHSINGH68-5@O KHDFCBANK-HDFC1840410-243747394669-PAYME NT FROM PHONE,8079055719704042,20/01/2025,14231.85,,-164842.62
20/01/2025,UPI-VINOD-VINODBAGADA9@AXL-SBIN0030057-7 339808434768-PAYMENT FROM PHONE,8389597849892152,20/01/2025,,26156.9,-138685.72
20/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.833493851803@H DFCBANK-HDFC0MERUPI-918293211782-PAYMENT FROM PHONE,2060619989873773,20/01/2025,17439.08,,-156124.8
21/01/2025,UPI-RACHANA RAWAT-542285472R@AXL-FINO00 10001-414752284831-PAYMENT FROM PHONE,4752133374547840,21/01/2025,,6710.78,-149414.02
21/01/2025,UPI-MEESHO TECHNOLOGIES -MEESHOONLINEPG@ AXL-UTIB0AXLUPI-845093237452-UPI INTENT,2886983793249877,21/01/2025,4373.66,,-153787.68
21/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-481651216494-PAYMENT FROM PHONE,4786587183392300,21/01/2025,27754.72,,-181542.4
21/01/2025,UPI-DEVKARAN MEENA-8041395334@YBL-FINO00 57322-276456902404-PAYMENT FROM PHONE,5322451458064859,21/01/2025,,32182.41,-149359.99
21/01/2025,UPI-SWIGGY-8482692334@HDFCBANK-HDFC0MERUP I-917654622055-SWIGGY FOOD,1776644756692183,21/01/2025,758.75,,-150118.74
21/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-383205310614-PAYMENT FOR 100006,6576720599048600,21/01/2025,166.39,,-150285.13
22/01/2025,UPI-BIGBASKET-9177059542@HDFCBANK HDFC0MERUPI-693192716193-GROCERY ORDER,1338597940173929,22/01/2025,108.48,,-150393.61
22/01/2025,UPI-JABIR HUSAIN TAI-9724154098@YBL-SBIN 49672-364222302779-PAYMENT FROM PHONE,1503239510742117,22/01/2025,14112.02,,-164505.63
22/01/2025,UPI-KALA KUNJ KOTA-VYAPAR.369347602163@H DFCBANK-HDFC0MERUPI-684077459710-PAYMENT FROM PHONE,3826350466608014,22/01/2025,32735.84,,-197241.47
22/01/2025,UPI-VIJAY SHREE TRADERS-SURENDRAGOYAL73@ OKSBI-BKID0008860-456967186721-PAYMENT F ROM PHONE,5078945458719644,22/01/2025,42141.19,,-239382.66
22/01/2025,ACH/ICICI BANK/EMI/PERSONAL LOAN,5924206918700997,22/01/2025,16115.35,,-255498.01
22/01/2025,UPI-DEVKARAN MEENA-8655947889@YBL-FINO00 59355-935626451175-PAYMENT FROM PHONE,6737211180824619,22/01/2025,,19638.11,-235859.9
22/01/2025,UPI-UBER-7580932928@HDFCBANK HDFC0MERUPI-747921288073-RIDE PAYMENT,5330001374201856,22/01/2025,1898.54,,-237758.44
22/01/2025,UPI-JABIR HUSAIN TAI-9848378098@YBL-SBIN 95215-192996023695-PAYMENT FROM PHONE,8338170814635893,22/01/2025,38744.23,,-276502.67
22/01/2025,ACH/SBI MF/SIP/BLUECHIP FUND,8122414566282206,22/01/2025,2660.16,,-279162.83
23/01/2025,UPI-RADESHYAM CHAUDHARY-DIMPALCHOUDHARY 3782@AXL-SBIN0030057-726531654588-PAYMENT T FROM PHONE,8756864558199936,23/01/2025,,44962.46,-234200.37
23/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-126048667824-UPIINTENT,1553780980992493,23/01/2025,286.05,,-234486.42
23/01/2025,ACH/JIO/RECHARGE/4G PLAN,5161041923545073,23/01/2025,956.19,,-235442.61
24/01/2025,UPI-RACHANA RAWAT-840047073R@AXL-FINO00 80001-738641847711-PAYMENT FROM PHONE,8853437171366355,24/01/2025,,34855.85,-200586.76
24/01/2025,UPI-CHAAPS N CURRIES-Q178778120@YBL-YESB 0YBLUPI-306758488056-PAYMENT FROM PHONE,5663351175460112,24/01/2025,590.35,,-201177.11
24/01/2025,UPI-BIGBASKET-8851109119@HDFCBANK HDFC0MERUPI-962081140185-GROCERY ORDER,2199996179315604,24/01/2025,557.2,,-201734.31
24/01/2025,UPI-TAKEUFORWARD-TAKEUFORWARD952606.RZP@ RXAIRTEL-AIRP0000011-708046307102-PAYMEN TTOTAKEUFORW,3092334944961890,24/01/2025,3273.85,,-205008.16
24/01/2025,UPI-JABIR HUSAIN TAI-8777162066@YBL-SBIN 92181-498100421978-PAYMENT FROM PHONE,2147182339423123,24/01/2025,30309.29,,-235317.45
24/01/2025,UPI-GOOGLE-PLAYSTORE1.BD@AXISBANK-UTIB00 17308-409406035166-MANDATEEXECUTE,1751928448009613,24/01/2025,1750.52,,-237067.97
24/01/2025,UPI-AVIRAL MITTAL-AVIRAL.23@YBL-SBIN003 0057-775687451501-PAYMENT FROM PHONE,4535157634617139,24/01/2025,17168.77,,-254236.74
24/01/2025,NACH/BAJAJ FINANCE/EMI DEBIT,6674828258194821,24/01/2025,13013.2,,-267249.94
25/01/2025,UPI-ZOMATO LIMITED-ZOMATOFD.PAYU@HDFCBANK K-HDFC0MERUPI-911476766635-UPIINTENT,7107069540843581,25/01/2025,576.91,,-267826.85
25/01/2025,UPI-ZERODHA-9667519814@ZERODHA,3186811601778818,25/01/2025,5609.09,,-273435.94
25/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-873399821246-UPIINTENT,3946329208539141,25/01/2025,451.41,,-273887.35
25/01/2025,UPI-BIGBASKET-8707214327@HDFCBANK HDFC0MERUPI-882343397285-GROCERY ORDER,7786917430999194,25/01/2025,1631.78,,-275519.13
25/01/2025,UPI-MAHESH KUMAR MALI-8690756611@YBL-SBI N0030057-166744787863-PAYMENT FROM PHONE,9779043409716796,25/01/2025,8420.09,,-283939.22
26/01/2025,UPI-OLA CABS-8229694480@PTYBL YESB0PTMUPI-708345163596-AUTO PAYMENT,9319715372943414,26/01/2025,961.44,,-284900.66
26/01/2025,UPI-UBER-7561997503@HDFCBANK HDFC0MERUPI-702306379099-RIDE PAYMENT,6469944744563443,26/01/2025,1647.34,,-286548.0
26/01/2025,UPI-AIRTEL RECHARGE-AIRTELPREDIRECT2@AXL -UTIB0AXLUPI-994146253045-PAYMENT FROM P HONE,1987896010455854,26/01/2025,1759.57,,-288307.57
27/01/2025,UPI-CHAAPS N CURRIES-Q760293573@YBL-YESB 0YBLUPI-179149342593-PAYMENT FROM PHONE,5540892598406364,27/01/2025,207.68,,-288515.25
27/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 351090489373-PAYMENT FROM PHONE,2255407696332720,27/01/2025,1516.25,,-290031.5
27/01/2025,UPI-MR SIDDHARTH CHHABR-Q978359493@YBL-423441522318 YESB0YBLUPI-571492525983-PAYMENT FROM PH ONE,6032303101333541,27/01/2025,37969.52,,-328001.02
27/01/2025,UPI-APOLLO PHARMACIES LI-SBIPMOPAD.02PYM 357871099369-PAYMENT FROM PHONE,9169031611993829,27/01/2025,1651.82,,-329652.84
28/01/2025,UPI-JAIN DAIRY COLDRINKS-Q888362738@YBL- YESB0YBLUPI-621662952570-PAYMENT FROM PH ONE,6805598381048751,28/01/2025,518.67,,-330171.51
28/01/2025,UPI-ZEPTO MARKETPLACE PR-ZEPTO.PAYU@AXIS BANK-UTIB0000100-245371111679-PAYMENT FR OM PHONE,8498881313464907,28/01/2025,1080.59,,-331252.1
28/01/2025,UPI-BLINKIT-BLINKIT.PAYU@HDFCBANK-HDFC0M ERUPI-226252965739-UPIINTENT,2865977035688569,28/01/2025,84.07,,-331336.17
28/01/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@AXL-UTI B0AXLUPI-939679249000-PAYMENT FOR 100006,9909294874542524,28/01/2025,1696.28,,-333032.45
01/03/2025,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK -HDFC0MERUPI-733019122443-MONTHLY AUTOPA Y. C,7212296168846188,01/03/2025,546.75,,-333579.2
02/03/2025,NEFT/INFOSYS LIMITED/MONTHLY SALARY,4360660975348151,02/03/2025,,85776,-247803.2
02/03/2025,UPI-SWIGGY-8026308342@HDFCBANK-HDFC0MERUP I-685406141673-SWIGGY FOOD,7151483726482117,02/03/2025,129.8,,-247933.0
02/03/2025,UPI-IRCTC RAIL APP-IRCTCPGONLINE@YBL-YES B0YBLUPI-113364659649-PAYMENT FOR 100006,9894485195791733,02/03/2025,242.62,,-248175.62
02/03/2025,UPI-FLIPKART PAYMENTS-PAYTM-73693464@PTY BL-YESB0PTMUPI-344090490684-PAYMENT FROM PHONE,7716823695277517,02/03/2025,5610.29,,-253785.91
03/03/2025,UPI-SWIGGY-9852159305@HDFCBANK-HDFC0MERUP I-686948885151-SWIGGY FOOD,7781911890584566,03/03/2025,129.37,,-253915.28
